net/minecraft/block/Block	func_176223_P	getDefaultState	()Lnet/minecraft/block/BlockState;	method	0
net/minecraft/world/World	func_175656_a	setBlockState	(Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/BlockState;)Z	method	0
net/minecraft/world/World	func_234923_W_	getDimensionKey	()Lnet/minecraft/util/RegistryKey;	method	0
net/minecraft/world/World	field_234918_g_	OVERWORLD	Lnet/minecraft/util/RegistryKey;	field	1
net/minecraft/block/Block	func_196246_j	getStateId	(Lnet/minecraft/block/BlockState;)I	method	1
net/minecraft/block/AbstractBlock$Properties	func_200945_a	create	(Lnet/minecraft/block/material/Material;)Lnet/minecraft/block/AbstractBlock$Properties;	method	1
net/minecraft/block/AbstractBlock$Properties	func_200943_b	hardnessAndResistance	(F)Lnet/minecraft/block/AbstractBlock$Properties;	method	0
net/minecraft/block/material/Material	field_151576_e	ROCK	Lnet/minecraft/block/material/Material;	field	1
net/minecraft/entity/Entity	field_70170_p	world	Lnet/minecraft/world/World;	field	0
net/minecraft/entity/Entity	func_226277_ct_	getPosX	()D	method	0
net/minecraft/entity/Entity	func_226278_cu_	getPosY	()D	method	0
net/minecraft/entity/Entity	func_226281_cx_	getPosZ	()D	method	0
net/minecraft/world/World	field_72995_K	isRemote	Z	field	0
net/minecraft/world/server/ServerWorld	func_217376_c	addEntity	(Lnet/minecraft/entity/Entity;)Z	method	0
net/minecraft/item/Items	field_151045_i	DIAMOND	Lnet/minecraft/item/Item;	field	1
net/minecraft/util/math/vector/Vector3i	func_177958_n	getX	()I	method	0
net/minecraft/util/math/vector/Vector3i	func_177956_o	getY	()I	method	0
net/minecraft/util/math/vector/Vector3i	func_177952_p	getZ	()I	method	0
net/minecraft/block/AbstractBlock$AbstractBlockState	func_177230_c	getBlock	()Lnet/minecraft/block/Block;	method	0
net/minecraft/entity/Entity	func_145782_y	getEntityId	()I	method	0
net/minecraft/entity/Entity	field_70128_L	removed	Z	field	0
net/minecraft/entity/Entity	func_70080_a	setPositionAndRotation	(DDDFF)V	method	0
net/minecraft/world/World	func_175647_a	getEntitiesWithinAABB	(Ljava/lang/Class;Lnet/minecraft/util/math/AxisAlignedBB;Ljava/util/function/Predicate;)Ljava/util/List;	method	0
net/minecraft/entity/LivingEntity	func_110148_a	getAttribute	(Lnet/minecraft/entity/ai/attributes/Attribute;)Lnet/minecraft/entity/ai/attributes/ModifiableAttributeInstance;	method	0
net/minecraft/entity/LivingEntity	func_110138_aP	getMaxHealth	()F	method	0
net/minecraft/entity/LivingEntity	func_70606_j	setHealth	(F)V	method	0
net/minecraft/entity/ai/attributes/ModifiableAttributeInstance	func_111128_a	setBaseValue	(D)V	method	0
net/minecraft/entity/ai/attributes/Attributes	field_233818_a_	MAX_HEALTH	Lnet/minecraft/entity/ai/attributes/Attribute;	field	1
net/minecraft/entity/EntityType	field_200784_X	PIG	Lnet/minecraft/entity/EntityType;	field	1
net/minecraft/entity/EntityType$Builder	func_220322_a	create	(Lnet/minecraft/entity/EntityType$IFactory;Lnet/minecraft/entity/EntityClassification;)Lnet/minecraft/entity/EntityType$Builder;	method	1
net/minecraft/entity/EntityType$Builder	func_220321_a	size	(FF)Lnet/minecraft/entity/EntityType$Builder;	method	0
net/minecraft/entity/EntityType$Builder	func_233606_a_	trackingRange	(I)Lnet/minecraft/entity/EntityType$Builder;	method	0
net/minecraft/entity/EntityType$Builder	func_206830_a	build	(Ljava/lang/String;)Lnet/minecraft/entity/EntityType;	method	0
net/minecraft/entity/ai/attributes/AttributeModifierMap$MutableAttribute	func_233813_a_	create	()Lnet/minecraft/entity/ai/attributes/AttributeModifierMap;	method	0
net/minecraft/item/Item$Properties	func_200917_a	maxStackSize	(I)Lnet/minecraft/item/Item$Properties;	method	0
net/minecraft/item/Item	func_150891_b	getIdFromItem	(Lnet/minecraft/item/Item;)I	method	1
net/minecraft/entity/Entity	field_70169_q	prevPosX	D	field	0
net/minecraft/entity/Entity	field_70167_r	prevPosY	D	field	0
net/minecraft/entity/Entity	field_70166_s	prevPosZ	D	field	0
net/minecraft/entity/Entity	field_70177_z	rotationYaw	F	field	0
net/minecraft/entity/Entity	field_70125_A	rotationPitch	F	field	0
net/minecraft/client/Minecraft	func_71410_x	getInstance	()Lnet/minecraft/client/Minecraft;	method	1
net/minecraft/client/Minecraft	field_71441_e	world	Lnet/minecraft/client/world/ClientWorld;	field	0
net/minecraft/client/Minecraft	func_175606_aa	getRenderViewEntity	()Lnet/minecraft/entity/Entity;	method	0
net/minecraft/client/world/ClientWorld	func_217416_b	getAllEntities	()Ljava/lang/Iterable;	method	0
com/mojang/blaze3d/matrix/MatrixStack	func_227866_c_	getLast	()Lcom/mojang/blaze3d/matrix/MatrixStack$Entry;	method	0
com/mojang/blaze3d/matrix/MatrixStack$Entry	func_227870_a_	getMatrix	()Lnet/minecraft/util/math/vector/Matrix4f;	method	0
net/minecraft/util/math/vector/Matrix4f	func_195879_b	write	(Ljava/nio/FloatBuffer;)V	method	0
net/minecraft/entity/Entity	func_70040_Z	getLookVec	()Lnet/minecraft/util/math/vector/Vector3d;	method	0
net/minecraft/entity/Entity	func_70047_e	getEyeHeight	()F	method	0
net/minecraft/util/DamageSource	func_76346_g	getTrueSource	()Lnet/minecraft/entity/Entity;	method	0
net/minecraft/util/math/vector/Vector3d	field_72450_a	x	D	field	0
net/minecraft/util/math/vector/Vector3d	field_72448_b	y	D	field	0
net/minecraft/util/math/vector/Vector3d	field_72449_c	z	D	field	0
